trial_nr	onset	event_type	phase	response	nr_frames	rating_type	face_id	repetition	session	rating	onset_abs	duration
140.0	493.70069264001313	fix	2.0		60	attractiveness	012	2.0	1	1.8499999999999996	797.2733383401271	0.5167518304579062
141.0	494.21744447047104	face	0.0		147	attractiveness	006	2.0	1		797.790090170585	1.2334652043932692
141.0	495.4509096748643	rating	1.0		63	attractiveness	006	2.0	1		799.0235553749783	0.5334010296928682
141.0	495.9843107045572	fix	2.0		60	attractiveness	006	2.0	1	-2.46	799.5569564046712	0.5167418691921739
142.0	496.50105257374935	face	0.0		147	attractiveness	027	2.0	1		800.0736982738633	1.233468826671924
142.0	497.7345214004213	rating	1.0		145	attractiveness	027	2.0	1		801.3071671005353	1.2168099680270643
142.0	498.95133136844834	fix	2.0		60	attractiveness	027	2.0	1	0.03000000000000025	802.5239770685623	0.5167530378844276
143.0	499.46808440633276	face	0.0		147	attractiveness	172	2.0	1		803.0407301064467	1.2334597709750597
143.0	500.7015441773078	rating	1.0		110	attractiveness	172	2.0	1		804.2741898774218	0.9251087890966119
143.0	501.62665296640444	fix	2.0		60	attractiveness	172	2.0	1	-3.69	805.1992986665184	0.5167521323146502
144.0	502.1434050987191	face	0.0		147	attractiveness	100	2.0	1		805.7160507988331	1.2334627895406811
144.0	503.37686788825977	rating	1.0		485	attractiveness	100	2.0	1		806.9495135883737	4.050486109769736
144.0	507.4273539980295	fix	2.0		60	attractiveness	100	2.0	1	2.6900000000000004	810.9999996981435	0.5167584713017277
145.0	507.94411246933123	face	0.0		147	attractiveness	137	2.0	1		811.5167581694452	1.2334516208488822
145.0	509.1775640901801	rating	1.0		84	attractiveness	137	2.0	1		812.7502097902941	0.7084171488322681
145.0	509.8859812390124	fix	2.0		60	attractiveness	137	2.0	1	0.0	813.4586269391264	0.5167463970401514
146.0	510.40272763605253	face	0.0		147	attractiveness	144	2.0	1		813.9753733361665	1.233466411819336
146.0	511.63619404787187	rating	1.0		116	attractiveness	144	2.0	1		815.2088397479858	0.9751161543958915
146.0	512.6113102022678	fix	2.0		60	attractiveness	144	2.0	1	0.05999999999999961	816.1839559023817	0.5167599805845384
147.0	513.1280701828523	face	0.0		147	attractiveness	018	2.0	1		816.7007158829663	1.23346490253698
147.0	514.3615350853893	rating	1.0		37	attractiveness	018	2.0	1		817.9341807855033	0.31673142495583306
147.0	514.6782665103451	fix	2.0		60	attractiveness	018	2.0	1	-1.33	818.2509122104591	0.5167165132429545
148.0	515.1949830235881	face	0.0		147	attractiveness	043	2.0	1		818.767628723702	1.2334594691187704
148.0	516.4284424927068	rating	1.0		40	attractiveness	043	2.0	1		820.0010881928208	0.3417052238087308
148.0	516.7701477165156	fix	2.0		60	attractiveness	043	2.0	1	0.7400000000000002	820.3427934166295	0.5167527360276836
149.0	517.2869004525433	face	0.0		147	attractiveness	099	2.0	1		820.8595461526572	1.233460978401581
149.0	518.5203614309448	rating	1.0		105	attractiveness	099	2.0	1		822.0930071310588	0.8834761315997639
149.0	519.4038375625446	fix	2.0		60	attractiveness	099	2.0	1	-0.75	822.9764832626586	0.5167156076736319
150.0	519.9205531702182	face	0.0		147	attractiveness	061	2.0	1		823.4931988703322	1.2334630913969704
150.0	521.1540162616152	rating	1.0		112	attractiveness	061	2.0	1		824.7266619617292	0.9417745904411277
150.0	522.0957908520563	fix	2.0		60	attractiveness	061	2.0	1	-0.06999999999999984	825.6684365521703	0.5167515286016169
151.0	522.6125423806579	face	0.0		147	attractiveness	126	2.0	1		826.1851880807719	1.233460978401581
151.0	523.8460033590595	rating	1.0		99	attractiveness	126	2.0	1		827.4186490591735	0.8334352602246327
151.0	524.6794386192842	fix	2.0		60	attractiveness	126	2.0	1	-1.5899999999999999	828.2520843193981	0.5167557545928503
152.0	525.196194373877	face	0.0		147	attractiveness	091	2.0	1		828.768840073991	1.2334938807643994
152.0	526.4296882546414	rating	1.0		73	attractiveness	091	2.0	1		830.0023339547554	0.6167052841797158
152.0	527.0463935388211	fix	2.0		60	attractiveness	091	2.0	1	2.1100000000000003	830.6190392389351	0.5167506230318395
153.0	527.563144161853	face	0.0		147	attractiveness	130	2.0	1		831.1357898619669	1.233460676544837
153.0	528.7966048383978	rating	1.0		109	attractiveness	130	2.0	1		832.3692505385118	0.9167736245003653
