127.5580 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
127.5580 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\limb\\limb-96.jpg'
127.7832 	DATA 	Keypress: t
128.4831 	DATA 	Keypress: t
129.1831 	DATA 	Keypress: t
129.9317 	DATA 	Keypress: t
129.9329 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
129.9329 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\number\\number-97.jpg'
130.5830 	DATA 	Keypress: t
131.2830 	DATA 	Keypress: t
131.9829 	DATA 	Keypress: t
132.3495 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
132.3495 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\number\\number-94.jpg'
132.6829 	DATA 	Keypress: t
133.3829 	DATA 	Keypress: t
134.0829 	DATA 	Keypress: t
134.7829 	DATA 	Keypress: t
135.4829 	DATA 	Keypress: t
135.7244 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
135.7244 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\number\\number-94.jpg'
136.1829 	DATA 	Keypress: t
136.8829 	DATA 	Keypress: t
137.5829 	DATA 	Keypress: t
138.1493 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
138.1493 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\car\\car-109.jpg'
138.2828 	DATA 	Keypress: t
138.5328 	DATA 	Keypress: b
138.9828 	DATA 	Keypress: t
139.6827 	DATA 	Keypress: t
140.3827 	DATA 	Keypress: t
140.5409 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
140.5409 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\limb\\limb-139.jpg'
141.0827 	DATA 	Keypress: t
141.7827 	DATA 	Keypress: t
142.4827 	DATA 	Keypress: t
143.1827 	DATA 	Keypress: t
143.8827 	DATA 	Keypress: t
144.5827 	DATA 	Keypress: t
145.2827 	DATA 	Keypress: t
145.9826 	DATA 	Keypress: t
146.6826 	DATA 	Keypress: t
147.3826 	DATA 	Keypress: t
147.9657 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
147.9657 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\limb\\limb-117.jpg'
148.0825 	DATA 	Keypress: t
148.7825 	DATA 	Keypress: t
149.4825 	DATA 	Keypress: t
150.1825 	DATA 	Keypress: t
150.3657 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
150.3657 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\adult\\adult-46.jpg'
150.8825 	DATA 	Keypress: t
151.5824 	DATA 	Keypress: t
152.2824 	DATA 	Keypress: t
152.9824 	DATA 	Keypress: t
153.6824 	DATA 	Keypress: t
154.3824 	DATA 	Keypress: t
154.7655 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
154.7655 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\number\\number-36.jpg'
155.0824 	DATA 	Keypress: t
155.7823 	DATA 	Keypress: t
156.4823 	DATA 	Keypress: t
157.1823 	DATA 	Keypress: t
157.8823 	DATA 	Keypress: t
158.5822 	DATA 	Keypress: t
159.2822 	DATA 	Keypress: t
159.9822 	DATA 	Keypress: t
160.1237 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
160.1237 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\number\\number-36.jpg'
160.6823 	DATA 	Keypress: t
161.3822 	DATA 	Keypress: t
162.0822 	DATA 	Keypress: t
162.7822 	DATA 	Keypress: t
163.4822 	DATA 	Keypress: t
164.1821 	DATA 	Keypress: t
164.8821 	DATA 	Keypress: t
165.5821 	DATA 	Keypress: t
166.2821 	DATA 	Keypress: t
166.9821 	DATA 	Keypress: t
167.6820 	DATA 	Keypress: t
168.3820 	DATA 	Keypress: t
168.5485 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
168.5485 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\house\\house-23.jpg'
169.0820 	DATA 	Keypress: t
169.7820 	DATA 	Keypress: t
170.4819 	DATA 	Keypress: t
171.1819 	DATA 	Keypress: t
171.8819 	DATA 	Keypress: t
172.5819 	DATA 	Keypress: t
173.2818 	DATA 	Keypress: t
173.9818 	DATA 	Keypress: t
174.6818 	DATA 	Keypress: t
174.9400 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
174.9400 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\car\\car-27.jpg'
175.3818 	DATA 	Keypress: t
176.0818 	DATA 	Keypress: t
176.7817 	DATA 	Keypress: t
177.3399 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
177.3399 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\adult\\adult-13.jpg'
177.4817 	DATA 	Keypress: t
178.1817 	DATA 	Keypress: t
178.8817 	DATA 	Keypress: t
179.5817 	DATA 	Keypress: t
180.2817 	DATA 	Keypress: t
180.7482 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
180.7482 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\limb\\limb-28.jpg'
180.9817 	DATA 	Keypress: t
181.6817 	DATA 	Keypress: t
182.3817 	DATA 	Keypress: t
183.0816 	DATA 	Keypress: t
183.1314 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
183.1314 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\limb\\limb-28.jpg'
183.7816 	DATA 	Keypress: t
184.4815 	DATA 	Keypress: t
185.1815 	DATA 	Keypress: t
185.5481 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
185.5481 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\car\\car-102.jpg'
185.8815 	DATA 	Keypress: t
186.0732 	DATA 	Keypress: b
186.5815 	DATA 	Keypress: t
187.2815 	DATA 	Keypress: t
187.9396 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
187.9396 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\adult\\adult-63.jpg'
187.9814 	DATA 	Keypress: t
188.6814 	DATA 	Keypress: t
189.3815 	DATA 	Keypress: t
190.0815 	DATA 	Keypress: t
190.7814 	DATA 	Keypress: t
191.3396 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
191.3396 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\limb\\limb-12.jpg'
191.4813 	DATA 	Keypress: t
192.1813 	DATA 	Keypress: t
192.8813 	DATA 	Keypress: t
193.5813 	DATA 	Keypress: t
193.7478 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
193.7478 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\car\\car-137.jpg'
194.2813 	DATA 	Keypress: t
194.9813 	DATA 	Keypress: t
195.6812 	DATA 	Keypress: t
196.3812 	DATA 	Keypress: t
197.0813 	DATA 	Keypress: t
197.7812 	DATA 	Keypress: t
198.1477 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
198.1477 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\house\\house-7.jpg'
198.4812 	DATA 	Keypress: t
199.1811 	DATA 	Keypress: t
199.8811 	DATA 	Keypress: t
200.5393 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
200.5393 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\adult\\adult-51.jpg'
200.5811 	DATA 	Keypress: t
201.2811 	DATA 	Keypress: t
201.9811 	DATA 	Keypress: t
202.6810 	DATA 	Keypress: t
203.3810 	DATA 	Keypress: t
203.9393 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
203.9393 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\house\\house-40.jpg'
204.0811 	DATA 	Keypress: t
204.7811 	DATA 	Keypress: t
205.4810 	DATA 	Keypress: t
206.1810 	DATA 	Keypress: t
206.8810 	DATA 	Keypress: t
207.5810 	DATA 	Keypress: t
208.2809 	DATA 	Keypress: t
208.3391 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
208.3391 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\car\\car-144.jpg'
208.9809 	DATA 	Keypress: t
209.6809 	DATA 	Keypress: t
210.3809 	DATA 	Keypress: t
211.0809 	DATA 	Keypress: t
211.7307 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
211.7307 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\house\\house-69.jpg'
211.7808 	DATA 	Keypress: t
212.4808 	DATA 	Keypress: t
213.1808 	DATA 	Keypress: t
213.8808 	DATA 	Keypress: t
214.5808 	DATA 	Keypress: t
215.2808 	DATA 	Keypress: t
215.9807 	DATA 	Keypress: t
216.1389 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
216.1389 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\number\\number-143.jpg'
216.6807 	DATA 	Keypress: t
217.3807 	DATA 	Keypress: t
218.0806 	DATA 	Keypress: t
218.7806 	DATA 	Keypress: t
219.4808 	DATA 	Keypress: t
220.1806 	DATA 	Keypress: t
220.5388 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
220.5388 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\number\\number-115.jpg'
220.8806 	DATA 	Keypress: t
221.5806 	DATA 	Keypress: t
222.2806 	DATA 	Keypress: t
222.9387 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
222.9387 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\house\\house-143.jpg'
222.9805 	DATA 	Keypress: t
223.6805 	DATA 	Keypress: t
224.3805 	DATA 	Keypress: t
225.0804 	DATA 	Keypress: t
225.7805 	DATA 	Keypress: t
226.3636 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
226.3636 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\adult\\adult-12.jpg'
226.4804 	DATA 	Keypress: t
227.1804 	DATA 	Keypress: t
227.8804 	DATA 	Keypress: t
228.5804 	DATA 	Keypress: t
228.7386 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
228.7386 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\car\\car-130.jpg'
229.2804 	DATA 	Keypress: t
229.9804 	DATA 	Keypress: t
230.6804 	DATA 	Keypress: t
231.1302 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
231.1302 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\adult\\adult-120.jpg'
231.3804 	DATA 	Keypress: t
232.0803 	DATA 	Keypress: t
232.7803 	DATA 	Keypress: t
233.4802 	DATA 	Keypress: t
233.5384 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
233.5384 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\limb\\limb-84.jpg'
234.1802 	DATA 	Keypress: t
234.8802 	DATA 	Keypress: t
235.5802 	DATA 	Keypress: t
235.9383 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
235.9383 	EXP 	unnamed ImageStim: image = '..\\data\\fLoc\\stimuli\\house\\house-27.jpg'
236.2801 	DATA 	Keypress: t
236.9801 	DATA 	Keypress: t
237.6801 	DATA 	Keypress: t
238.3383 	EXP 	unnamed ImageStim: size = array([13.09489708, 13.09489708])
