duration	isi	onset	run	stim_name	trial_type	task_probe	sub_id
0.4	3.0	165.40000000000015	2	corridor-80.jpg	corridor	0.0	sub-01
0.4	4.0	168.80000000000015	2	child-7.jpg	child	0.0	sub-01
0.4	3.0	173.20000000000016	2	corridor-39.jpg	corridor	0.0	sub-01
0.4	4.0	176.60000000000016	2	instrument-70.jpg	instrument	0.0	sub-01
0.4	4.0	181.00000000000017	2	corridor-57.jpg	corridor	0.0	sub-01
0.4	2.0	185.40000000000018	2	word-128.jpg	word	0.0	sub-01
0.4	3.0	187.80000000000018	2	word-128.jpg	word	1.0	sub-01
0.4	2.0	191.2000000000002	2	corridor-128.jpg	corridor	0.0	sub-01
0.4	2.0	193.6000000000002	2	child-135.jpg	child	0.0	sub-01
0.4	2.0	196.0000000000002	2	instrument-6.jpg	instrument	0.0	sub-01
0.4	2.0	198.4000000000002	2	child-130.jpg	child	0.0	sub-01
0.4	2.0	200.8000000000002	2	body-128.jpg	body	0.0	sub-01
0.4	4.0	203.20000000000022	2	corridor-124.jpg	corridor	0.0	sub-01
0.4	2.0	207.60000000000022	2	body-65.jpg	body	0.0	sub-01
0.4	2.0	210.00000000000023	2	instrument-26.jpg	instrument	0.0	sub-01
0.4	2.0	212.40000000000023	2	body-46.jpg	body	0.0	sub-01
0.4	3.0	214.80000000000024	2	word-38.jpg	word	0.0	sub-01
0.4	4.0	218.20000000000024	2	instrument-58.jpg	instrument	0.0	sub-01
0.4	2.0	222.60000000000025	2	child-65.jpg	child	0.0	sub-01
5.9	0.1	0.0	2	baseline	baseline	0.0	sub-01
5.9	0.1	0.0	3	baseline	baseline	0.0	sub-01
0.4	5.0	6.0	3	house-28.jpg	house	0.0	sub-01
0.4	2.0	11.4	3	limb-144.jpg	limb	0.0	sub-01
0.4	2.0	13.8	3	car-13.jpg	car	0.0	sub-01
0.4	2.0	16.2	3	number-71.jpg	number	0.0	sub-01
0.4	3.0	18.599999999999998	3	house-26.jpg	house	0.0	sub-01
0.4	2.0	21.999999999999996	3	number-133.jpg	number	0.0	sub-01
0.4	2.0	24.399999999999995	3	house-120.jpg	house	0.0	sub-01
0.4	2.0	26.799999999999994	3	number-64.jpg	number	0.0	sub-01
0.4	2.0	29.199999999999992	3	adult-137.jpg	adult	0.0	sub-01
0.4	2.0	31.59999999999999	3	adult-71.jpg	adult	0.0	sub-01
0.4	6.0	33.99999999999999	3	house-54.jpg	house	0.0	sub-01
0.4	5.0	40.39999999999999	3	number-62.jpg	number	0.0	sub-01
0.4	3.0	45.79999999999999	3	car-33.jpg	car	0.0	sub-01
0.4	3.0	49.19999999999999	3	limb-50.jpg	limb	0.0	sub-01
0.4	3.0	52.59999999999999	3	number-96.jpg	number	0.0	sub-01
0.4	3.0	55.999999999999986	3	car-128.jpg	car	0.0	sub-01
0.4	3.0	59.399999999999984	3	car-49.jpg	car	0.0	sub-01
0.4	2.0	62.79999999999998	3	house-85.jpg	house	0.0	sub-01
0.4	5.0	65.19999999999999	3	adult-6.jpg	adult	0.0	sub-01
0.4	2.0	70.6	3	car-15.jpg	car	0.0	sub-01
0.4	3.0	73.0	3	adult-53.jpg	adult	0.0	sub-01
0.4	3.0	76.4	3	adult-30.jpg	adult	0.0	sub-01
0.4	2.0	79.80000000000001	3	house-110.jpg	house	0.0	sub-01
0.4	2.0	82.20000000000002	3	limb-62.jpg	limb	0.0	sub-01
0.4	3.0	84.60000000000002	3	house-141.jpg	house	0.0	sub-01
0.4	4.0	88.00000000000003	3	limb-8.jpg	limb	0.0	sub-01
0.4	2.0	92.40000000000003	3	adult-138.jpg	adult	0.0	sub-01
0.4	2.0	94.80000000000004	3	limb-96.jpg	limb	0.0	sub-01
0.4	3.0	97.20000000000005	3	number-97.jpg	number	0.0	sub-01
0.4	2.0	100.60000000000005	3	number-94.jpg	number	0.0	sub-01
0.4	2.0	103.00000000000006	3	number-94.jpg	number	1.0	sub-01
0.4	7.0	105.40000000000006	3	car-109.jpg	car	0.0	sub-01
0.4	2.0	112.80000000000007	3	limb-139.jpg	limb	0.0	sub-01
0.4	4.0	115.20000000000007	3	limb-117.jpg	limb	0.0	sub-01
0.4	5.0	119.60000000000008	3	adult-46.jpg	adult	0.0	sub-01
0.4	8.0	125.00000000000009	3	number-36.jpg	number	0.0	sub-01
0.4	6.0	133.4000000000001	3	number-36.jpg	number	1.0	sub-01
0.4	2.0	139.8000000000001	3	house-23.jpg	house	0.0	sub-01
0.4	3.0	142.2000000000001	3	car-27.jpg	car	0.0	sub-01
0.4	2.0	145.6000000000001	3	adult-13.jpg	adult	0.0	sub-01
0.4	2.0	148.0000000000001	3	limb-28.jpg	limb	0.0	sub-01
0.4	2.0	150.40000000000012	3	limb-28.jpg	limb	1.0	sub-01
0.4	3.0	152.80000000000013	3	car-102.jpg	car	0.0	sub-01
0.4	2.0	156.20000000000013	3	adult-63.jpg	adult	0.0	sub-01
0.4	4.0	158.60000000000014	3	limb-12.jpg	limb	0.0	sub-01
0.4	2.0	163.00000000000014	3	car-137.jpg	car	0.0	sub-01
0.4	3.0	165.40000000000015	3	house-7.jpg	house	0.0	sub-01
0.4	4.0	168.80000000000015	3	adult-51.jpg	adult	0.0	sub-01
0.4	3.0	173.20000000000016	3	house-40.jpg	house	0.0	sub-01
0.4	4.0	176.60000000000016	3	car-144.jpg	car	0.0	sub-01
0.4	4.0	181.00000000000017	3	house-69.jpg	house	0.0	sub-01
0.4	2.0	185.40000000000018	3	number-143.jpg	number	0.0	sub-01
0.4	3.0	187.80000000000018	3	number-115.jpg	number	0.0	sub-01
0.4	2.0	191.2000000000002	3	house-143.jpg	house	0.0	sub-01
0.4	2.0	193.6000000000002	3	adult-12.jpg	adult	0.0	sub-01
0.4	2.0	196.0000000000002	3	car-130.jpg	car	0.0	sub-01
0.4	2.0	198.4000000000002	3	adult-120.jpg	adult	0.0	sub-01
0.4	2.0	200.8000000000002	3	limb-84.jpg	limb	0.0	sub-01
0.4	4.0	203.20000000000022	3	house-27.jpg	house	0.0	sub-01
0.4	2.0	207.60000000000022	3	limb-27.jpg	limb	0.0	sub-01
0.4	2.0	210.00000000000023	3	car-116.jpg	car	0.0	sub-01
0.4	2.0	212.40000000000023	3	limb-131.jpg	limb	0.0	sub-01
0.4	3.0	214.80000000000024	3	number-122.jpg	number	0.0	sub-01
0.4	4.0	218.20000000000024	3	car-46.jpg	car	0.0	sub-01
0.4	2.0	222.60000000000025	3	adult-129.jpg	adult	0.0	sub-01
5.9	0.1	0.0	3	baseline	baseline	0.0	sub-01
5.9	0.1	0.0	4	baseline	baseline	0.0	sub-01
0.4	5.0	6.0	4	corridor-96.jpg	corridor	0.0	sub-01
